respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,questions,responses,congenial,response_probe
199,0,0,1,NA,NA,NA,open,gg_correct,0,NA,NA
199,0,0,1,NA,NA,NA,open,dt_correct,1,NA,1
200,1,0,0,1,1,0,closed,aca_correct,1,1,NA
200,1,0,0,1,1,0,closed,aca2_correct,0,1,0
200,1,0,0,1,1,0,closed,gg_correct,1,1,NA
200,1,0,0,1,1,0,closed,dt_correct,1,0,1
201,1,0,0,1,1,0,closed,aca_correct,1,1,NA
201,1,0,0,1,1,0,closed,aca2_correct,0,1,0
201,1,0,0,1,1,0,closed,gg_correct,1,1,NA
201,1,0,0,1,1,0,closed,dt_correct,1,0,1
202,0,0,1,NA,NA,NA,open,aca_correct,0,NA,NA
202,0,0,1,NA,NA,NA,open,aca2_correct,0,NA,0
202,0,0,1,NA,NA,NA,open,gg_correct,0,NA,NA
202,0,0,1,NA,NA,NA,open,dt_correct,0,NA,0
205,0,1,0,0,0,1,closed,aca_correct,0,0,NA
205,0,1,0,0,0,1,closed,aca2_correct,0,0,0
205,0,1,0,0,0,1,closed,gg_correct,0,0,NA
205,0,1,0,0,0,1,closed,dt_correct,1,1,1
206,1,0,0,NA,1,0,closed,aca_correct,1,1,NA
206,1,0,0,NA,1,0,closed,aca2_correct,1,1,1
206,1,0,0,NA,1,0,closed,gg_correct,0,1,NA
206,1,0,0,NA,1,0,closed,dt_correct,1,0,1
207,1,0,0,1,1,0,closed,aca_correct,0,1,NA
207,1,0,0,1,1,0,closed,aca2_correct,0,1,0
207,1,0,0,1,1,0,closed,gg_correct,0,1,NA
207,1,0,0,1,1,0,closed,dt_correct,1,0,1
209,1,0,0,1,1,0,closed,aca_correct,0,1,NA
209,1,0,0,1,1,0,closed,aca2_correct,1,1,1
209,1,0,0,1,1,0,closed,gg_correct,0,1,NA
